"id","listingType","featureGroups","numberOfRooms","price","debtFreePrice","livingArea","totalArea","pricePMsq","city","region","district","postalCode","floor","buildingAge","centrum","hasSauna","hasBalcony","hasParking","hasWalkInCloset","hasStorage","link"
"510151","Omakotitalo","apartment",9,129000,129000,210,266,484.962406015038,"Hamina","Hamina","Saviniemi","49400",0,73,0,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/510151'>https://op-koti.fi/kohde/510151</a>"
"524212","Erillistalo","apartment",5,415620.97,514000,134,134,3835.82089552239,"Espoo","Espoon keskus","Vanttila","02780",1,12,0,1,0,0,0,1,"<a href='https://op-koti.fi/kohde/524212'>https://op-koti.fi/kohde/524212</a>"
"522365","Kerrostalo","apartment",1,59000,59000,35,35,1685.71428571429,"Kuopio","Kuopio","Niirala","70620",1,68,0,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/522365'>https://op-koti.fi/kohde/522365</a>"
"509338","Omakotitalo","apartment",4,69000,69000,97,97,711.340206185567,"Virolahti","Virolahti","Virojoki","49900",0,68,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/509338'>https://op-koti.fi/kohde/509338</a>"
"524730","Rivitalo","apartment",2,109000,109000,64,64,1703.125,"Äänekoski","Äänekoski","Suolahti","44200",1,21,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524730'>https://op-koti.fi/kohde/524730</a>"
"517747","Rivitalo","apartment",4,127000,127000,94,94,1351.06382978723,"Lappeenranta","Lappeenranta","Kourula","53810",1,42,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/517747'>https://op-koti.fi/kohde/517747</a>"
"521690","Rivitalo","apartment",3,147000,147000,75,75,1960,"Oulu","Oulu","Taskila","90580",1,32,0,1,0,1,0,0,"<a href='https://op-koti.fi/kohde/521690'>https://op-koti.fi/kohde/521690</a>"
"524460","Erillistalo","apartment",4,179000,179000,100,100,1790,"Kuopio","Kuopio","Jynkkä","70780",1,41,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524460'>https://op-koti.fi/kohde/524460</a>"
"524243","Kerrostalo","apartment",3,102818.38,288000,72,72,4000,"Tampere","Länsi","Lielahti","33400",3,3,0,1,1,0,1,0,"<a href='https://op-koti.fi/kohde/524243'>https://op-koti.fi/kohde/524243</a>"
"524548","Omakotitalo","apartment",2,87000,87000,100.5,118.5,734.177215189873,"Punkalaidun","Punkalaidun","Sarkkila","31900",0,48,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524548'>https://op-koti.fi/kohde/524548</a>"
"523534","Omakotitalo","apartment",4,298000,298000,139,174,1712.64367816092,"Porvoo","Porvoo","Hermanninsaari","06400",0,45,0,1,0,1,1,0,"<a href='https://op-koti.fi/kohde/523534'>https://op-koti.fi/kohde/523534</a>"
"524731","Kerrostalo","apartment",2,159000,159000,56,56,2839.28571428571,"Kouvola","Kouvola","Keskusta","45100",2,7,1,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524731'>https://op-koti.fi/kohde/524731</a>"
"524310","Kerrostalo","apartment",2,199000,199000,52.5,52.5,3790.47619047619,"Tampere","Keskusta","Kaleva","33500",3,66,0,0,0,0,0,0,"<a href='https://op-koti.fi/kohde/524310'>https://op-koti.fi/kohde/524310</a>"
"524749","Omakotitalo","apartment",5,267000,267000,135,135,1977.77777777778,"Pyhtää","Pyhtää","Pyhtää kk","49270",0,3,0,1,0,0,0,0,"<a href='https://op-koti.fi/kohde/524749'>https://op-koti.fi/kohde/524749</a>"
