id,listingType,floor,numberOfRooms,price,debtFreePrice,city,region,district,postalCode,livingArea,totalArea,buildingAge,centrum,hasSauna,hasBalcony,hasParking,hasWalkInCloset,hasStorageRoom
508136,Kerrostalo,3,1,17247.73,20000.0,Pieksämäki,Pieksämäki,Kontiopuisto,76120,33.0,33.0,65.0,0,0,0,0,0,0
507888,Omakotitalo,0,5,189000.0,189000.0,Kuopio,Kuopio,Kurkimäki,71480,98.0,120.0,73.0,0,1,0,0,0,0
697741,Kerrostalo,1,3,29697.55,34000.0,Kemi,Kemi,Takajärvi,94700,77.0,77.0,41.0,0,0,1,0,0,0
697977,Kerrostalo,3,3,49900.0,49900.0,Heinola,Heinola,Keskusta,18100,64.0,64.0,59.0,1,0,1,0,0,0
698722,Kerrostalo,2,2,57000.0,57000.0,Iisalmi,Iisalmi,keskusta,74100,46.0,46.0,47.0,1,0,0,0,0,0
508151,Kerrostalo,3,2,15347.75,19000.0,Kemi,Kemi,Siikakangas,94700,59.5,59.5,53.0,0,0,1,0,0,0
508899,Kerrostalo,1,2,55461.17,59000.0,Mäntyharju,Mäntyharju,Kyttälä,52700,58.5,58.5,40.0,0,0,1,0,0,0
508823,Paritalo,1,5,255000.0,255000.0,Hollola,Hollola,Salpakangas,15870,129.0,129.0,33.0,0,1,0,0,0,0
507905,Kerrostalo,3,3,76000.0,76000.0,Rovaniemi,Rovaniemi,Ounasmetsä,96400,80.0,80.0,43.0,0,0,1,0,0,0
507904,Kerrostalo,2,3,73000.0,73000.0,Rovaniemi,Rovaniemi,Ounasmetsä,96400,80.0,80.0,43.0,0,0,1,0,0,0
699322,Rivitalo,1,4,85112.96,89000.0,Pieksämäki,Pieksämäki,Yläristi,76150,97.0,97.0,45.0,0,1,0,0,0,0
699643,Erillistalo,1,5,159000.0,159000.0,Kajaani,Kajaani,Lehtikangas,87500,174.5,174.5,34.0,0,0,0,1,0,1
509058,Rivitalo,0,2,93000.0,93000.0,Haapavesi,Haapavesi,Keskusta,86600,58.5,58.5,4.0,0,1,0,0,0,0
508405,Omakotitalo,0,6,119000.0,119000.0,Nivala,Nivala,Keskusta,85500,130.0,134.0,65.0,0,1,0,0,0,0
508824,Kerrostalo,2,2,62388.0,67000.0,Hyvinkää,Hyvinkää,Tehdas,05800,42.5,42.5,121.0,0,0,0,0,0,0
509054,Rivitalo,0,2,58500.0,58500.0,Joutsa,Joutsa,Joutsa,19650,66.0,66.0,29.0,0,1,0,0,1,0
507987,Kerrostalo,4,2,155000.0,155000.0,Jyväskylä,Jyväskylä,Keljo,40500,56.5,56.5,10.0,0,0,0,0,0,0
507758,Omakotitalo,0,5,175000.0,175000.0,Tammela,Tammela,Häiviä,31300,120.0,120.0,28.0,0,1,0,1,0,0
507526,Kerrostalo,2,1,50738.66,52000.0,Mikkeli,Mikkeli,Lehmuskylä,50130,35.5,35.5,49.0,0,0,0,0,0,0
673394,Rivitalo,1,2,22314.87,23900.0,Jämsä,Jämsä,Halli,35600,63.5,63.5,42.0,0,1,0,0,1,0
508748,Kerrostalo,6,3,117000.0,129000.0,Pori,Pori,Keskusta,28100,72.5,72.5,62.0,1,0,1,0,0,0
508767,Rivitalo,1,3,147238.45,149000.0,Turku,Itäosa,Varissuo,20610,86.0,86.0,41.0,0,1,0,0,0,0
508083,Omakotitalo,0,4,98000.0,98000.0,Kouvola,Kouvola,Kuusankoski,45740,89.0,287.0,60.0,0,1,0,0,0,0
698585,Rivitalo,0,2,127000.0,127000.0,Janakkala,Janakkala,Turenki,14200,66.0,66.0,13.0,0,1,0,0,0,0
508445,Kerrostalo,0,2,34500.0,34500.0,Lahti,Lahti,Ahtiala,15300,48.5,48.5,45.0,0,0,0,0,1,0
508159,Kerrostalo,5,4,269000.0,269000.0,Hyvinkää,Hyvinkää,Tehdas,05800,86.0,86.0,19.0,0,1,0,0,0,0
507764,Rivitalo,0,2,79000.0,79000.0,Oulu,Oulu,Haukipudas,90830,52.0,52.0,34.0,0,1,0,0,0,0
508962,Rivitalo,0,3,72000.0,72000.0,Jämsä,Jämsä,Jämsänkoski Linnamäki,42300,81.0,81.0,39.0,0,1,0,1,0,0
507541,Kerrostalo,2,3,315000.0,315000.0,Vantaa,Länsi-Vantaa,Myyrmäki,01600,72.5,72.5,9.0,0,1,0,0,0,0
506501,Paritalo,1,4,379000.0,379000.0,Helsinki,Pohjois-Helsinki,Siltamäki,00740,103.5,108.5,30.0,0,1,1,0,0,1
504563,Kerrostalo,1,2,32427.0,35000.0,Äänekoski,Äänekoski,Keskusta,44100,41.5,41.5,44.0,1,0,0,0,0,0
508694,Omakotitalo,0,6,355000.0,355000.0,Pori,Pori,Söörmarkku,29570,190.0,249.0,9.0,0,1,0,0,0,0
